pg_num,text,word_ct,filename,companyname,rep_type
1,"Key Data on the Environment, Social Issues and Corporate Governance 2020",11,GBR_HS22_CSR_RIETER N,RIETER N,_CSR_
4,"Rieter is the world’s leading supplier of systems for short-staple fiber spinning. Based in Winterthur Switzerland, the company develops and manufactures machinery, systems and components used to convert natural and man-made fibers and their blends into yarns. Rieter is the only supplier worldwide to cover the complete spinning process across all technologies established on the market. With 15 manufacturing locations in ten countries, the company employs a global workforce of some 4 420, about 21 of whom are based in Switzerland.  Rieter is a strong brand with a long tradition. For more than 225 years Rieter’s innovative momentum has been a powerful driving force for progress in the spinning mill industry. ",111,GBR_HS22_CSR_RIETER N,RIETER N,_CSR_
4,"The main focus is the efficiency of the customer’s yarn production. Efficiency is attained through minimal use of resources. Therefore, Rieter makes an important contribution to the sustainable production of textiles.  With a global sales and service organization, Rieter is well positioned as market leader in the global competitive environment. For the benefit of shareholders, customers and employees, Rieter aspires to achieve sustained growth in enterprise value. With this in mind, Rieter seeks to maintain continuous growth in sales and profitability throughout the investment cycle in the textile industry.  The company comprises three business groups: Machines , Systems, Components and After Sales.  ",102,GBR_HS22_CSR_RIETER N,RIETER N,_CSR_
4,"Blowroom and cards are used for fiber preparation, draw frames, combers and rowing frames are used for spinning preparation, and ring, compact-, rotor and air-jet spinning machines as well as winding machines are used for end spinning. The offer is supplemented by planning services and automation solutions as well as ESSENTIAL, the Rieter Digital Spinning Suite, as a digital platform for the complete spinning mill.  The Business Group Components develops, produces and distributes technology components, precision winding machines as well as solutions for the production of filament yarns and nonwoven fabrics. Technology components come into contact with fibers and affect yarn properties, they are used in new machines and have to be replaced at regular intervals during operation.  ",118,GBR_HS22_CSR_RIETER N,RIETER N,_CSR_
4,"The Business Group After Sales develops, produces and distributes spare parts for Rieter machines as well as building conversions and modernizations. After Sales also sells technology components that are not included in the range of products offered by the Business Group Components. After Sales also offers services that enable Rieter customers to improve the efficiency and effectiveness of their spinning mills.",61,GBR_HS22_CSR_RIETER N,RIETER N,_CSR_
5,"Around 94 million tons of fiber were processed around the world in 2020, for example for clothing, technical textiles or home textiles. Fiber consumption is growing with the world population and disposable income, on average between two and three percent per year.  The process from fiber to textile begins with fiber production. A yarn is produced from the fibers, for example from cotton, linen, polyester or viscose. A textile is then produced from the yarn via various processing steps such as weaving, knitting, dyeing or finishing.  Yarn is produced in two basically different ways. On the one hand, this is done by spinning staple fibers. ",105,GBR_HS22_CSR_RIETER N,RIETER N,_CSR_
5,"These are fibers with a staple length of 23 to 60 mm short-staple fibers or over 60 mm long-staple fibers. On the other hand, yarn is produced by processing so-called filaments to make continuous filament yarn. The yarns resulting from filaments have different properties than those produced from staple fibers. In the clothing industry, the yarn produced from staple fiber predominates because it offers pleasant wearing comfort.  Each of the two types of yarn production accounts for around 50 of world fiber consumption.  Rieter is mainly engaged in yarn production from staple fibers. The most important of these in 2020 are cotton about 22 million tons, polyester about 17 million tons and viscose about 5 million tons.  ",117,GBR_HS22_CSR_RIETER N,RIETER N,_CSR_
5,"The process for producing a yarn from staple fibers consists of three stages: fiber preparation, spinning preparation and end spinning.  In fiber preparation, the fibers, which are delivered in bales, are separated, cleaned if necessary, and aligned. This takes place in the process stages blowroom/opener and card. Spinning preparation involves the homogenization and drawing of the sliver. The machine required for this is known as the draw frame. In cotton processing, the comber also plays a role: here, short fibers are combed out in order to produce a higher quality yarn. By the end of the spinning preparation stage, a uniform sliver or roving has been produced.  ",107,GBR_HS22_CSR_RIETER N,RIETER N,_CSR_
5,"Twisting takes place either by means of a rotating spindle ring spinning, compact spinning, by rotation of a rotor rotor spinning or by an air flow air-jet spinning. Compact spinning is a variant of ring spinning that uses an  auxiliary device to achieve yarn with a higher density as a result of improved fiber integration.  After spinning, imperfections are removed from the yarn. The yarn is then wound on a package, in order to present it in a suitable form for the subsequent process steps in the textile production chain.  With its spinning systems Rieter covers all four end spinning processes established on the market.",105,GBR_HS22_CSR_RIETER N,RIETER N,_CSR_
6,"The production capacity of a ring spindle serves as the basis. The spinning unit of a rotor spinning machine corresponds to the productivity of five to six ring spindles, whereas that of an air-jet spinning machine corresponds to the productivity of 20 ring spindles.  A total of more than 250 million spindle equivalents worldwide were used in 2020 to produce yarn from the around 50 million tons of staple fibers, of which around 100 million are in China, 55 million in India, 70 million in the Asian countries excluding China, India and Turkey and 12 million in Turkey. Every year, between 11 and 13 million spindle equivalents are installed on average, with 6.5 million delivered or installed in 2020. ",119,GBR_HS22_CSR_RIETER N,RIETER N,_CSR_
